question,answer
"Given \( n \) segments on a line (each segment is defined by its start and end points). For simplicity, assume that all \( 2n \) points are distinct. A segment is called ""central"" if there are at least \( n/4 \) segments that start before it (i.e., their starting point is to the left of its starting point) and there are at least \( n/4 \) segments that end after it (i.e., their ending point is to the right of its ending point). Propose an algorithm that returns the number of central segments, with the best possible worst-case running time.","Algorithm: Running time \( O(n) \).

Find the \( n/4 \)-th smallest element among the start points, call it \( a \).
Find the \( n/4 \)-th smallest element among the end points, call it \( b \).
Scan through the segments one by one and count how many start after \( a \) and end before \( b \).

Time complexity analysis: Finding the \( i \)-th smallest element takes \( O(n) \) using the Select algorithm. The scan takes \( O(n) \) because each check takes two comparisons, i.e., \( O(1) \)."
"Given \( n \) segments on a line (each segment is defined by its start and end points). For simplicity, assume that all \( 2n \) points are distinct. A segment is called ""central"" if there are at least \( n/4 \) segments that start before it (i.e., their starting point is to the left of its starting point) and there are at least \( n/4 \) segments that end after it (i.e., their ending point is to the right of its ending point). Propose a dynamic data structure that supports the operations Insert and Delete of segments on the line in \( O(\log n) \) worst-case time, and also supports the operation IsCentric(p), which takes a pointer to a segment in the structure and answers whether the segment is central, in \( O(1) \) worst-case time.","Description of the structure:
A balanced tree containing all the start points, which also serves to find the order-statistic as learned in class, by maintaining the number of descendants of each node.
Another such tree containing the end points.
In the tree of start points, there will be a pointer \( p_1 \) to the node representing the \( n/4 \)-th smallest element.
In the tree of end points, there will be a pointer \( p_2 \) to the node representing the \( 3n/4 \)-th smallest element.

Implementation of the Insert operation and time complexity analysis:
We insert the start point of the segment into the first tree and update the number of descendants in each node as learned in class.
Additionally, we find the \( n/4 \)-th smallest element in the tree and update the pointer \( p_1 \).
Similarly, we do this for the end point and the second tree, with pointer \( p_2 \).
The insertion into an order-statistic tree takes \( O(\log n) \) as learned in class, and the same time is taken to find the corresponding element.
Total: \( 2 \times 2 \times O(\log n) = O(\log n) \) time complexity.

Implementation of the Delete operation and time complexity analysis:
Similar to the Insert operation, we delete the start point value from the first tree and update \( p_1 \). Similarly for the second tree.
 
Implementation of the IsCentric operation and time complexity analysis:
We check if the start point of the given segment is greater than \( p_1 \) and smaller than \( p_2 \). Time: \( O(1) \), as we perform only 2 comparisons."
"Given a min-heap, with no duplicate keys.
Each node \( x \) has an additional field \( s \), which is initialized to \( \text{nil} \). We want the field \( s \) of each node \( x \) to contain a pointer to the successor of \( x \). Assume that access to the heap elements is available (i.e., the heap is not a black box). The heap structure itself should not be changed. Propose an algorithm that achieves this, with the best possible overall worst-case time complexity, given that the keys are integers in the range from 1 to \( 2n \).","Description of the algorithm:
I. We will scan the heap (for example, using DLR traversal) and copy the keys to an auxiliary array. For each key, we will remember its pointer to its original position in the heap.
II. We will sort the array using a linear-time sorting algorithm, such as CountSort (or BinSort).
III. We will scan the array from left to right, and for each element, we will access (using the pointer) the corresponding node in the heap and update the field \( s \) to contain the pointer to the next element in the array."
"In B-trees with a minimum degree \( d \) (where each internal node has between \( d \) and \( 2d \) children), the amount of information stored in the leaves is smaller because there is no need to store child pointers. Assume that a disk block is large enough to hold a node at its maximum size and that each node is stored in a separate disk block.

To take advantage of the free space in the disk block containing a leaf, we modify the definition of the tree and set that each leaf will contain between \( 2d-1 \) and \( 4d-1 \) elements, instead of between \( d-1 \) and \( 2d-1 \). It is given that the size of an element is equivalent to the size of a pointer, so such an enlarged leaf still fits in a block. As long as the tree has no more than \( 4d \) elements, the tree consists of a single enlarged leaf.

This is called a B-tree with enlarged leaves. Briefly describe a top-down insertion algorithm (the algorithm does not modify the tree after the element is inserted into the appropriate leaf, only during the search) for a B-tree with enlarged leaves as described above.","We search for the location of the new element in the tree starting from the root. Each time we descend along the path to a full node (a node containing \( 2d \) children), we split it, so that no chain of splits occurs when we reach a leaf. When we reach a leaf, we insert the element as usual. At this point, at most one split may occur."
"We insert a set of elements \( X_1 \) of size \( n_1 \) into a hashing table of size \( m \) using the chaining method with the hashing function \( h \). All the linked lists formed in this table had a length of at most \( k_1 \). We then insert a second set of elements \( X_2 \) of size \( n_2 \) into another hashing table of size \( m \), also using the chaining method with the same hashing function \( h \). The linked lists formed in this table had a length of at most \( k_2 \). Finally, we insert all the elements of \( X_1 \) and \( X_2 \), in some order, into a third hashing table of size \( m \), again using the chaining method and the same hashing function \( h \). Provide a non-asymptotic bound, as tight as possible, on the number of keys that will be examined during a search operation (whether successful or unsuccessful) in the third hashing table.","The number of keys that will be examined during a search operation is exactly the length of the list. 
In one list, there will be at most \( k_1 + k_2 \) elements, so this is the maximum number of keys that will be examined during any search operation."
"Given a directed graph defined by a set of \( n \) nodes and \( m \) edges, where each edge is an ordered pair of nodes. The outgoing edges from each node are stored in a singly linked list.

Each node \( v \) is represented by an object that supports the following operations:
- \( \text{edges}(v) \): Returns the list of edges outgoing from node \( v \).
We assume the graph has \( n \) nodes, each identified by an integer between 1 and \( n \). The operation \( \text{id}(v) \) returns the integer identifier of node \( v \).
The entire graph is represented by an array of size \( n \), where the element \( \text{id}(v) \) points to the object representing node \( v \).

On the edge list \( L \) (outgoing from a specific node), the following operations can be performed:
- \( \text{first}(L) \): Returns the first edge in the list.
- \( \text{delete-first}(L) \): Removes the first edge from the list.
- \( \text{insert-first}(L, e) \): Inserts an edge object \( e \) at the beginning of the edge list \( L \).
- \( \text{length}(L) \): Returns the length of the list \( L \).

Each edge \( e = (v, w) \) is represented by an object that supports the following operations:
- \( \text{next}(e) \): Returns the next edge in the outgoing edge list from \( v \).
- \( \text{delete-after}(e) \): Removes the edge after \( e \) in the outgoing edge list from \( v \).
- \( \text{source}(e) \): Returns the source node \( v \) from which \( e \) originates.
- \( \text{target}(e) \): Returns the target node \( w \) to which \( e \) points.

These are the only operations that can be performed on the objects representing the graph.

For algorithm analysis, let \( d(v) \) denote the number of outgoing edges from node \( v \).

\textbf{(A)} Given two nodes \( v \) and \( w \), describe the most efficient algorithm you can to check if there is an edge from \( v \) to \( w \). What is the running time of the algorithm?","We iterate through the list of edges outgoing from \( v \) and check if there is an edge \( (v, w) \). The running time is \( O(d(v)) \)."
"Describe a data structure whose elements are pairs of keys \( (a, b) \) that supports the following operations:

\begin{itemize}
    \item \texttt{insert(a, b)} – Adds the key pair \( (a, b) \) to the data structure. It is assumed that the pair does not already exist in the structure. This operation should be performed in expected time \( O(1) \).
    \item \texttt{SearchAll(a)} – Returns a list of all key pairs where \( a \) is the left key. This operation should be performed in expected time \( O(1) \).
\end{itemize}","We implement the data structure using a hash table on the left key \( a \), where each cell in the hash table holds a list of all key pairs for which \( a \) is the left key. The \texttt{insert} operation will insert the element at the beginning of the list, and \texttt{SearchAll} will return the entire list."
"Given \( n \) pairs of keys \( (a_1, b_1), (a_2, b_2), \dots, (a_n, b_n) \), where each key \( a_i \) and each key \( b_j \) (for \( 1 \leq i,j \leq n \)) are integers in the range \([1, 10n]\), describe a data structure that can be built in Worst-case time \( O(n) \) (given \( n \) key pairs) and supports the following operation in Worst-case time \( O(1) \):

\texttt{SearchAll(a)} – returns a list of all key pairs for which \( a \) is the left key.","We initialize a table with \( 10n \) cells, such that the \( i \)-th cell holds a list of all key pairs for which \( i \) is the left key."
"Describe a data structure whose elements are pairs of keys \( (a, b) \), where each left key in the pair is an integer in the range \([1, 10n]\). It can be assumed that all the key pairs are distinct. The data structure should support the following operations (where \( n \) is the number of key pairs currently in the data structure):

\begin{itemize}
    \item \texttt{Insert(a, b)} – Adds the key pair \( (a, b) \) to the data structure. The operation should be performed in amortized time \( O(1) \).
    \item \texttt{IncreaseKey((a, b), x)} – This command receives a pointer to the key pair \( (a, b) \) that is in the data structure and a positive number \( x \), and increases the right key by \( x \). The operation should be performed in amortized time \( O(1) \).
    \item \texttt{Delete((a, b))} – This command receives a pointer to the key pair \( (a, b) \) that is in the data structure and deletes it. The operation should be performed in amortized time \( O(\log n) \).
\end{itemize}","We implement using an array where each cell points to a maximum heap. In each operation, we access the \( a \)-th cell in the array and perform the corresponding operation on the heap with key \( b \)."
"Describe a data structure whose elements are pairs of keys \( (a, b) \) that supports the following operations (where \( n \) is the number of key pairs currently in the data structure, and it can be assumed that all the key pairs are distinct):

\begin{itemize}
    \item \texttt{Insert(a, b)} – Adds the key pair \( (a, b) \) to the data structure. The operation should be performed in \( O(\log n) \) time.
    \item \texttt{Delete(a, b)} – Deletes the key pair \( (a, b) \). The operation should be performed in \( O(\log n) \) time.
    \item \texttt{Search(a, b)} – Returns the key pair \( (a, b) \) if it exists, otherwise returns null. The operation should be performed in \( O(\log n) \) time.
    \item \texttt{successor(a, b)} – Returns \( (a, b^*) \) where \( b^* \) is defined as follows: let \( b_1, b_2, b_3, \dots, b_m \) be all the keys such that the pair \( (a, b_i) \) exists in the data structure (for \( 1 \leq i \leq m \)) and is sorted in ascending order. Then, \( b^* \) is the key to the right of \( b \) in the sorted list. If there is no key to the right of \( b \) in the sorted list, return null. The operation should be performed in \( O(\log n) \) time.
\end{itemize}","We implement using a Red-Black tree where each node points to a Red-Black tree. In each operation, we search on the main tree using \( a \) and on the secondary tree (pointed to by a node in the main tree) using \( b \)."
"Describe a data structure that supports the following operations (where \( n \) is the number of keys currently in the data structure, and it can be assumed that all the keys are distinct):

\begin{itemize}
    \item \texttt{Insert(a)} – Adds the key \( a \) to the data structure. The operation should be performed in \( O(\log n) \) time.
    \item \texttt{Delete(a)} – Deletes the key \( a \). The operation should be performed in \( O(\log n) \) time.
    \item \texttt{Search(a)} – Returns the key \( a \) if it exists, otherwise returns null. The operation should be performed in \( O(\log n) \) time.
    \item \texttt{Sum(a)} – Returns the sum of all the keys smaller than \( a \). It can be assumed that \( a \) exists in the data structure. The operation should be performed in \( O(\log n) \) time.
\end{itemize}","We implement using a Red-Black tree where each node stores the sum of the keys in the subtree rooted at that node. The \texttt{Sum} operation will be performed by traversing from the root to \( a \) and summing the sum fields of all the left children of the nodes along the path, along with the sum field of \( a \)."
"Given an ordered set \( S \), we define the degree of an element in the set as its position in a sorted array of the elements (all elements have different values). Throughout the question, \( h \) represents the number of elements currently in the requested data structure.

\textbf{(A)} Describe a data structure that supports the following operations:
\begin{itemize}
  \item \texttt{Init()} – initialize the structure in \( O(1) \) time.
  \item \texttt{Insert(x)} – insert the element \( x \) into \( S \) in \( O(\log n) \) time.
  \item \texttt{Delete(x)} – delete the element \( x \) from \( S \) in \( O(\log n) \) time.
  \item \texttt{Min()} – return the element with the minimum degree (smallest value) in \( O(1) \) time.
  \item \texttt{Max()} – return the element with the maximum degree (largest value) in \( O(1) \) time.
  \item \texttt{AVG()} – return the element with the minimum degree whose value is greater than or equal to the average of the elements in the structure in \( O(1) \) time.
\end{itemize}","We will use a balanced binary tree with auxiliary fields that are updated with each \texttt{insert}/\texttt{delete} operation: pointers to the minimum and maximum elements (which are found by walking left or right from the root to a leaf), a pointer to the element with the minimum value greater than or equal to the average, the number of elements in the tree, and the sum of the elements in the tree. 

To maintain the pointer to the average element, during an insertion, we will update the number of elements and the sums, compute the average, and find the closest element greater than or equal to the average by searching for it. Similarly, the same process is applied for the \texttt{delete} operation.

For \texttt{Min}/\texttt{Max}/\texttt{AVG} calls, we return the element based on the corresponding pointer."
"Given an array of $n$ numbers. In all questions, we want to find an element that repeats a certain number of times in the array. If there is more than one such element, we should return one of them.
Propose an algorithm to find the repeating element in each of the following cases:

\textbf{a.} It is known that there is an element that repeats at least $L$ times. In this case, randomness can be used.",We will maintain a Hash table where the key is the number and the value is a counter. We will iterate through the input array and count the occurrences of each element. We will then iterate again and return an element whose counter value is at least $L$. The expected time complexity is $O(n)$.
"Given an array of $n$ numbers, describe an algorithm with a time complexity of $O(n)$ that checks whether there is an element that appears at least $n/8$ times in the array. Prove your answer.","We will perform select on the elements at positions $n/9$, $2n/9$, $3n/9$, $4n/9$, $5n/9$, $6n/9$, $7n/9$, and $8n/9$. Now, we will iterate over the array and check if any of the 8 candidates appears at least $n/8$ times."
"Given an array with $n$ numbers.

\textbf{B.} Describe a deterministic algorithm with time complexity $O(n \log n)$ that returns the number of distinct elements in the array. Prove your answer.","Sort the array using merge sort. Now, traverse the sorted array and every time we encounter an element that is different from the previous one, increment a counter by 1."
"Given a collection of sets $s_1, s_2, \dots, s_m$.

Describe a data structure that supports the following operations:

\begin{itemize}
    \item \texttt{MakeItem(i) $\gets$ A} – Create the item $A$ that holds the number $i$.
    \item \texttt{Insert(j, A)} – Insert the item $A$ into set $S_j$ (it is assumed that the set $S_j$ exists).
    \item \texttt{Delete(j, A)} – Delete the item $A$ from set $S_j$ (it is assumed that the set $S_j$ exists).
    \item \texttt{FindMin(j)} – Return the minimum item from set $S_j$ (it is assumed that the set $S_j$ exists).
    \item \texttt{CreateSet(j, Arr)} – Build the set $j$ from an unsorted array of numbers.
    \item \texttt{FindMin()} – Return the minimum item among all items in the sets $s_1, s_2, \dots, s_m$.
\end{itemize}

All operations, except for \texttt{CreateSet}, should run in $O(\log n)$ time, where $n$ is the total number of items in sets $s_1, s_2, \dots, s_m$. The \texttt{CreateSet} operation should run in linear time relative to the size of the input array.","We will maintain a minimum heap for each set and additionally a minimum heap that will store the minimum value of each of the sets. 

The operations \texttt{Delete(j, A)}, \texttt{CreateSet(j, arr)}, and \texttt{Insert(j, A)} will update the minimum heap of the set $s_j$. If the minimum element of a set is updated, the global minimum heap will also be updated. 

The operation \texttt{FindMin(j)} will return the minimum element from the corresponding heap of set $s_j$. 

The operation \texttt{FindMin()} will return the minimum element from the global heap of all sets."
"Given an array of $n$ integers between $0$ and $2^n$.
It is given that each number in the array is a multiple of the upper bound value of $2^N$, divided by $N^3$. Propose an algorithm to sort the array.","Divide each number by (the upper bound value of $2^N$, divided by $N^3$). Now, the elements of the array are in the range $[0, n^3]$ and can be sorted using $O(n)$ \texttt{radix sort}."
"A data structure is required that supports the following operations on elements containing two fields: \texttt{id} and \texttt{amount}. At any given time, the number of elements in the structure does not exceed $N$.

\begin{enumerate}
    \item \texttt{Add(i,x)}: Increases the value of the \texttt{amount} field of the element (the only one) with \texttt{id} = $i$, by $x$ if it exists. Otherwise, if no such element exists, it adds an element with \texttt{id} = $i$, \texttt{amount} = $x$ (no pointer is given to the element).
    \item \texttt{whoIsMax()}: Returns the \texttt{id} for which the \texttt{amount} field is maximal (if more than one exists, returns one of them).
    \item \texttt{Reduce(i,y)}: Decreases the \texttt{amount} of the element with \texttt{id} = $i$ by $y$ (no pointer is given to the element).
\end{enumerate}

Assume that all \texttt{id}s are in the range $[1, 3n]$.

Describe a deterministic data structure that supports operations 1 and 2 in $O(1)$ time in the worst case (there is no need to implement operation 3).","We will allocate an array of size $3n$. In each call to \texttt{Add}, we will update the corresponding cell in the array and check if it is the new maximum by comparing it with the current maximum. The \texttt{whoIsMax} function will return the maximum, which will always be stored in an auxiliary field."
"Is it possible to implement an AVL tree such that the worst-case time complexity of the insert operation is \( O(1) \) and the delete operation takes \( O(n) \), where \( n \) is the number of elements in the tree?","It is not possible. Consider a general set of numbers of size \( n \), insert them into the tree, and retrieve them sorted using an in-order walk in \( O(n) \)."
"Is it possible to implement any search tree such that the insert operation takes \( O(1) \) in the worst case and the delete operation takes \( O(n) \), where \( n \) is the number of elements in the tree?","It is not possible. Consider a general set of numbers of size \( n \), insert them into the tree, and retrieve them in sorted order using an in-order walk in \( O(n) \)."
"Is it possible to implement an AVL tree with an additional operation that returns the smallest element greater than or equal to the average of the elements in \( O(1) \) time, without affecting the runtime of other operations?","We will maintain an auxiliary pointer that will be updated during each insert and delete operation, pointing to the relevant element. This will require updating the average at each step and searching for the appropriate element, which will take \( O(\log n) \) time."
"We construct a hashing table of size \(m\) using the chaining method. The hash function is randomly selected from a universal family of hash functions. \(n\) distinct elements have already been inserted into the table. Now, we perform a search for an element \(x\) that is already in the table. Provide the best possible bound (not asymptotic) on the expected number of elements in the list where \(x\) is located.",1 + \frac{n-1}{m}
"We build a hashing table of size \( m \) using the open addressing method (i.e., all the elements are in the hashing table without using pointers). We use a randomly chosen hash function of the form \( h(k, i) \), where \( k \) is the key that we want to insert into the table, and \( i \) is the probe number. (This is the uniform probing method. The value returned by calling \( h(k, i) \) is a uniformly chosen integer between 2 and \( m-1 \), independent of the previous random selections). The table already contains \( n \) distinct elements. We now perform a search for an element that is not in the table. What is the expected number of table slots examined during the search? Provide as tight a non-asymptotic answer as possible.",\frac{1}{1 - \frac{n}{m}}
"We build a hashing table of size \( m \) using the linear probing method. The keys of the elements inserted into the table are taken from the set \( \{0, 1, \dots, 2m-1\} \). We use the following hash function:
\[
h(k) = \left\lfloor \frac{k}{2} \right\rfloor.
\]
We insert the elements \( 1, 2, \dots, m \) into the table in increasing order. How much time does it take to insert all the elements into the table using the standard insertion algorithm? Provide an asymptotic bound.",Quadratic time.
"Let \( U = \{0, 1, \dots, u\} \). Assume that each element of \( U \) can be represented by a single word. Given a subset \( D \subseteq U \) of size \( n \), describe the most efficient probabilistic algorithm that constructs a function \( h: U \to \{0, 1, \dots, 100n\} \) which is injective on \( D \) (i.e., for all \( x, y \in D \), we have \( h(x) \neq h(y) \)). The memory required to represent the function \( h \) should be \( O(n) \). Computing \( h(x) \), given \( x \in D \), should take \( O(1) \) time in the worst case.",perfect hash
"We define a zig-zag array, for which there exist some indices \( n \leq j \leq i \leq 1 \) such that all elements in the array between 1 and \( i \) are in increasing order, all elements between \( i \) and \( j \) are in decreasing order, and all elements between \( j \) and \( n \) are in increasing order. We call \( i \) the peak element and \( j \) the valley element. 

Provide upper and lower bounds for the problem: Input: Array. Output: Returns TRUE if the array is a zig-zag array.",Upper and lower bounds are \( O(n) \).
"Given \(n\) segments on the line (i.e., the input is \(n\) pairs \((x, y)\) of start and end points), a segment is called ""central"" if there are at least \(n/4\) segments starting before it (its start point is to the left of its start point) and at least \(n/4\) segments ending after it (its end point is to the right of its end point). Propose an algorithm that returns the number of central segments, with the best possible Worst Case running time, and analyze its running time.","One can run a select on \( n/4 \) in \( x \) and \( 3n/4 \) in \( y \), and based on that, identify the central segments. The running time is linear in the number of segments."
"Given a node \( v \) in a red-black tree. \( P_1 \) and \( P_2 \) are the lengths of the shortest path and longest path from \( v \) to a leaf, respectively. Provide a lower bound on the ratio between \( P_1 \) and \( P_2 \). Justify your answer.",\textit{Maximum twice the length because there is the same black length and no two consecutive reds}
"\textit{We insert into a binomial heap (initially empty) the sequence of numbers 1, 2, \ldots, n in ascending order. For two binomial trees in the heap created, with ranks i, j such that i < j, what is the relation between all the values in the tree of rank i and all the values in the tree of rank j? Explain.}","All the nodes in the tree with rank \( j \) were inserted before all the nodes in the tree with rank \( i \). Therefore, the nodes in the tree with rank \( j \) are smaller than all the nodes in the tree with rank \( i \)."
"\textbf{Reminder:} In perfect hash, we choose a random universal hash function to map a given space \( U \) of size \( n \) to an array of size \( n \). Let \( n_i \) be the number of elements mapped to cell \( i \). Then, a random universal hash function is used to map the elements mapped to cell \( i \) to another array of size \( n_i^2 \).

\textbf{Question:} 

Define: A nearly universal family of functions is a family of functions from space \( U \) to \(\{0, \ldots, m-1\}\) such that for any pair of keys \( k_1, k_2 \) in \( U \) the condition \( \Pr(h[k_1] = h[k_2]) \leq 1/m^{0.5} \) holds. Suppose we have a nearly universal family when \( |U| = n \). We take a random function from the family and use it to map the elements of \( U \) to an array of size \( m \). What is the best upper bound on the expected number of collisions if \( m = n^4 \)?","\text{Answer = 0.5. There are } \frac{n^2}{2} \text{ possible collisions and the probability for each is } \frac{1}{\sqrt{m}} = \frac{1}{n^2}, \text{ so by linearity of expectation we get 0.5.}"
